Subdomain,Description,Domain
Cancer,Paracetamol,Medical
Obesity,Ibuprofen,Medical
Obesity,Aspirin,Medical
Diabetes,Ibuprofen,Medical
Cancer,Penicillin,Medical
Asthma,Ibuprofen,Medical
Diabetes,Paracetamol,Medical
Cancer,Paracetamol,Medical
Asthma,Aspirin,Medical
Cancer,Paracetamol,Medical
Cancer,Paracetamol,Medical
Hypertension,Lipitor,Medical
Diabetes,Penicillin,Medical
Asthma,Lipitor,Medical
Cancer,Paracetamol,Medical
Obesity,Aspirin,Medical
Arthritis,Paracetamol,Medical
Obesity,Paracetamol,Medical
Hypertension,Aspirin,Medical
Asthma,Penicillin,Medical
Asthma,Aspirin,Medical
Asthma,Lipitor,Medical
Arthritis,Lipitor,Medical
Asthma,Lipitor,Medical
Hypertension,Paracetamol,Medical
Obesity,Aspirin,Medical
Asthma,Ibuprofen,Medical
Diabetes,Lipitor,Medical
Hypertension,Penicillin,Medical
Hypertension,Paracetamol,Medical
Asthma,Ibuprofen,Medical
Arthritis,Penicillin,Medical
Arthritis,Penicillin,Medical
Cancer,Ibuprofen,Medical
Diabetes,Lipitor,Medical
Asthma,Lipitor,Medical
Diabetes,Paracetamol,Medical
Hypertension,Ibuprofen,Medical
Diabetes,Lipitor,Medical
Obesity,Penicillin,Medical
Hypertension,Lipitor,Medical
Hypertension,Aspirin,Medical
Asthma,Paracetamol,Medical
Obesity,Paracetamol,Medical
Cancer,Penicillin,Medical
Cancer,Penicillin,Medical
Hypertension,Paracetamol,Medical
Diabetes,Aspirin,Medical
Hypertension,Ibuprofen,Medical
Asthma,Ibuprofen,Medical
Hypertension,Paracetamol,Medical
Cancer,Ibuprofen,Medical
Cancer,Penicillin,Medical
Obesity,Lipitor,Medical
Asthma,Ibuprofen,Medical
Hypertension,Paracetamol,Medical
Cancer,Paracetamol,Medical
Hypertension,Ibuprofen,Medical
Cancer,Ibuprofen,Medical
Hypertension,Paracetamol,Medical
Obesity,Paracetamol,Medical
Asthma,Ibuprofen,Medical
Cancer,Aspirin,Medical
Hypertension,Aspirin,Medical
Hypertension,Aspirin,Medical
Cancer,Lipitor,Medical
Diabetes,Penicillin,Medical
Hypertension,Lipitor,Medical
Diabetes,Penicillin,Medical
Arthritis,Penicillin,Medical
Cancer,Ibuprofen,Medical
Obesity,Aspirin,Medical
Cancer,Paracetamol,Medical
Diabetes,Penicillin,Medical
Arthritis,Paracetamol,Medical
Arthritis,Paracetamol,Medical
Arthritis,Penicillin,Medical
Diabetes,Penicillin,Medical
Arthritis,Penicillin,Medical
Cancer,Ibuprofen,Medical
Arthritis,Ibuprofen,Medical
Hypertension,Penicillin,Medical
Diabetes,Penicillin,Medical
Obesity,Aspirin,Medical
Asthma,Ibuprofen,Medical
Cancer,Ibuprofen,Medical
Asthma,Penicillin,Medical
Arthritis,Ibuprofen,Medical
Cancer,Aspirin,Medical
Hypertension,Paracetamol,Medical
Cancer,Penicillin,Medical
